n_clusters,n_init,pca_variance,n_pcs,silhouette,davies_bouldin,calinski_harabasz,inertia,score
6,50,0.7,2,0.39802841058094246,0.4995130049545296,33.45959687663048,10.76493435511164,1.9067108434038658
6,100,0.7,2,0.39802841058094246,0.4995130049545296,33.45959687663048,10.76493435511164,1.9067108434038658
5,100,0.7,2,0.39830508160795797,0.677469170394377,27.566623042716817,15.858434733018445,1.3762112937204563
5,50,0.7,2,0.39830508160795797,0.677469170394377,27.566623042716817,15.858434733018445,1.3762112937204563
4,50,0.7,2,0.38059322079681424,0.6342694933650618,26.187234881952843,21.335912978066133,1.2899043391007905
4,100,0.7,2,0.37783658424883043,0.6445837968927128,26.197479582231583,21.32964349904109,1.262358176034827
3,50,0.7,2,0.41761534702504266,0.7994964540614456,25.855052765149015,29.433628745126654,1.2121426723723814
3,100,0.7,2,0.41761534702504266,0.7994964540614456,25.855052765149015,29.433628745126654,1.2121426723723814
5,50,0.8,3,0.3597829882677236,0.6054717466553906,22.347733920384666,21.311834673783213,1.0533084075596517
5,100,0.8,3,0.3597829882677236,0.6054717466553906,22.347733920384666,21.311834673783213,1.0533084075596517
6,100,0.8,3,0.341078490157349,0.618126320334275,23.805248166419666,16.363189491883208,1.0139235132092304
6,50,0.8,3,0.341078490157349,0.618126320334275,23.805248166419666,16.36318949188321,1.0139235132092304
4,50,0.8,3,0.352024630537029,0.7130369078810577,22.47012275460286,27.1425537113916,0.8667330438509414
4,100,0.8,3,0.352024630537029,0.7130369078810577,22.47012275460286,27.1425537113916,0.8667330438509414
3,100,0.8,3,0.35596714843277544,0.9364314647834217,18.823058878173182,40.728063146835936,0.3928216639532893
3,50,0.8,3,0.35596714843277544,0.9364314647834217,18.823058878173182,40.728063146835936,0.3928216639532893
4,50,0.9,5,0.2766560174596648,0.8886456562662,15.010266512165035,41.22601360366948,-0.09373810289105033
4,100,0.9,5,0.2766560174596648,0.8886456562662,15.010266512165035,41.22601360366948,-0.09373810289105033
4,100,0.95,6,0.2584913118769491,0.9287609736242982,13.816143264485648,44.81090747881246,-0.29387419012237537
4,50,0.95,6,0.2584913118769491,0.9287609736242982,13.816143264485648,44.81090747881245,-0.29387419012237537
5,50,0.9,5,0.2592049244785109,0.9711791283484548,13.921080003580093,34.897600200139586,-0.3468361304129265
5,100,0.9,5,0.2592049244785109,0.9711791283484548,13.921080003580093,34.897600200139586,-0.3468361304129265
3,100,0.9,5,0.278739081565174,1.1490240552185493,13.909074365124416,55.473312107387144,-0.5111787962841025
3,50,0.9,5,0.278739081565174,1.1490240552185493,13.909074365124416,55.47331210738715,-0.5111787962841025
6,50,0.9,5,0.23071235922366284,0.9882425784491273,13.396027861293598,29.71045765805406,-0.5316694049279027
5,50,0.95,6,0.23820350239762417,1.0092275899392664,12.651297837618467,38.438871278834,-0.5610268939672256
5,100,0.95,6,0.2317434045602661,0.9998913188846632,12.681458293496851,38.37763279085029,-0.5769063610505161
6,100,0.9,5,0.23873698752891848,1.04725732307434,13.421723414346095,29.668561146752317,-0.577472537546145
3,50,0.95,6,0.26398538016711287,1.192000206155088,13.105425708425301,58.98557140555609,-0.6809891822993036
3,100,0.95,6,0.26398538016711287,1.192000206155088,13.105425708425301,58.98557140555609,-0.6809891822993036
6,50,0.95,6,0.20765593524800566,1.0376909280677282,12.017823670662612,33.17826544306084,-0.7771665991518177
6,100,0.95,6,0.20765593524800566,1.0376909280677282,12.017823670662612,33.17826544306083,-0.7771665991518177
