filters1,filters2,kernel1,kernel2,dense1,dense2,dropout,learning_rate,batch_size,val_acc,val_loss,train_acc,n_epochs,overfitting
64,16,3,3,32,16,0.4,0.001,64,0.5318182110786438,0.6930270791053772,0.518750011920929,29,-0.013068199157714844
64,128,7,3,16,8,0.1,0.0001,128,0.5136363506317139,0.6931470036506653,0.5801136493682861,18,0.06647729873657227
8,32,3,3,128,8,0.3,0.005,128,0.5090909004211426,0.6931483149528503,0.5113636255264282,23,0.0022727251052856445
16,64,7,5,64,64,0.5,0.005,128,0.5295454263687134,0.6904963850975037,0.5448863506317139,76,0.015340924263000488
8,128,5,5,16,64,0.3,0.005,128,0.5,0.6931933760643005,0.5221590995788574,18,0.022159099578857422
64,32,5,5,128,8,0.4,0.001,128,0.5204545259475708,0.6929419040679932,0.5318182110786438,47,0.011363685131072998
32,64,7,5,16,64,0.3,0.01,64,0.5,0.6931471228599548,0.4738636314868927,27,-0.0261363685131073
32,128,7,5,64,8,0.5,0.005,32,0.5090909004211426,0.6930955648422241,0.4954545497894287,48,-0.013636350631713867
64,128,5,3,32,32,0.1,0.0001,128,0.5,0.6931374073028564,0.5926136374473572,16,0.09261363744735718
8,32,3,5,16,64,0.1,0.01,128,0.5,0.6931478381156921,0.6965909004211426,20,0.19659090042114258
32,128,7,3,32,8,0.3,0.005,64,0.5,0.6928220987319946,0.5039772987365723,100,0.003977298736572266
8,32,3,5,64,32,0.3,0.0001,128,0.5045454502105713,0.6931613087654114,0.5159090757369995,17,0.011363625526428223
64,128,7,3,16,32,0.5,0.001,128,0.5,0.6931477189064026,0.5028409361839294,16,0.0028409361839294434
16,16,3,3,128,8,0.1,0.0001,64,0.5,0.6931577324867249,0.550000011920929,17,0.050000011920928955
8,16,5,5,16,32,0.1,0.001,128,0.5,0.6933870315551758,0.5590909123420715,16,0.05909091234207153
32,16,3,5,64,16,0.4,0.001,64,0.5113636255264282,0.6931160092353821,0.5227272510528564,28,0.011363625526428223
8,64,3,3,128,8,0.4,0.001,128,0.5318182110786438,0.6930806040763855,0.5687500238418579,47,0.03693181276321411
32,64,3,5,32,64,0.2,0.005,32,0.5022727251052856,0.6930326223373413,0.5267045497894287,22,0.024431824684143066
16,64,5,3,16,64,0.3,0.0005,64,0.5295454263687134,0.6931123733520508,0.5630682110786438,24,0.03352278470993042
8,64,7,3,128,64,0.4,0.001,64,0.5068181753158569,0.6931622624397278,0.5852272510528564,16,0.07840907573699951
